seendate,title,url,sourcecountry,language
20260207T044500Z,Amazon new Greater Cincinnati facility acquired in $61M real estate deal,https://local12.com/news/local/amazon-new-cincinnati-facility-acquired-61-million-dollars-real-estate-deal-florence-kentucky-acquisition-elmtree-funds-c5-encore-logistics-center-blackrock-ohio,United States,English
20260207T044500Z,"Seton Hall wary of tournament exclusion , heads west to face Creighton",https://www.640wxsm.com/2026/02/06/seton-hall-wary-of-tournament-exclusion-heads-west-to-face-creighton/,United States,English
20260207T044500Z,Princesa de Noruega pide disculpas por sus contactos con Epstein,https://www.latimes.com/espanol/vida-y-estilo/articulo/2026-02-06/princesa-de-noruega-pide-disculpas-por-sus-contactos-con-epstein,United States,Spanish
20260207T044500Z,Права работников при длительном лечении : юрист,https://iz.ru/2036845/2026-02-07/iurist-rasskazal-o-pravakh-rabotnikov-pri-dlitelnom-lechenii,Russia,Russian
20260207T044500Z,"  Nu , de Maya Triay y Mariona Jaume , en el Principal de Palma",https://www.ultimahora.es/ocio/teatro/nus-maya-triay-mariona-jaume-principal-palma.html,Spain,Spanish
20260207T044500Z,  All hands on deck : S . F . elementary school students protest ICE,https://www.yahoo.com/news/articles/hands-deck-f-elementary-school-041033802.html,United States,English
20260207T044500Z,"Without Luka Donic , Lakers welcome Steph Curry - less Warriors",http://www.austinglobe.com/news/278853690/without-luka-donic-lakers-welcome-steph-curry-less-warriors,United States,English
20260207T044500Z,桃井かおり 、 トッピング豊かなお手製うどんに反響 夫のリクエストで  温 ・ 冷  作り分け 「 具だくさん 」「 どちらもとっても美味しそう 」 | ORICON NEWS | 国内海外のニュース,https://373news.com/news/national/oricon/detail/2434865/,Japan,Japanese
20260207T044500Z,,https://primicia.com.ve/mundo/onu-saluda-reanudacion-de-las-conversaciones-entre-eeuu-e-iran/,Venezuela,Spanish
20260207T044500Z,Momen Prabowo Disambut Selawat Hadiri Munajat Bangsa MUI,https://nasional.sindonews.com/read/1674483/15/momen-prabowo-disambut-selawat-hadiri-munajat-bangsa-mui-1770433324,Indonesia,Indonesian
20260207T044500Z,Apple Health+ canceled : Why Apple is abandoning its all - in - one health coach,https://myhostnews.com/apple-health-canceled-why-apple-is-abandoning-its-all-in-one-health-coach/,United States,English
20260207T044500Z,Diễn viên gặp nạn khi đóng thế cảnh rơi trên không,https://vnexpress.net/dien-vien-gap-nan-khi-dong-the-canh-roi-tren-khong-5015348.html,Vietnam,Vietnamese
20260207T044500Z,Former Jets first - round draft pick Darron Lee charged with murder in girlfriend death,https://abc7ny.com/post/former-jets-first-round-draft-pick-darron-lee-charged-murder-girlfriends-death/18557447/,United States,English
20260207T044500Z,Former Kansas associate head coach Matt Werle to lead UCLA women volleyball,https://dailybruin.com/2026/02/06/former-kansas-associate-head-coach-matt-werle-to-lead-ucla-womens-volleyball,United States,English
20260207T044500Z,Ye Wife Bianca Censori Talks Nudity Obsession and More,https://popcrush.com/ixp/812/p/kanye-west-wife-bianca-censori-nudity-obsession/,United States,English
20260207T044500Z,Harga Perak Antam Hari Ini 7 Februari 2026 Melesat Rp 2 . 000,https://www.liputan6.com/bisnis/read/6273999/harga-perak-antam-hari-ini-7-februari-2026-melesat-rp-2000,Indonesia,Indonesian
20260207T044500Z," ¡ Sin piedad ! Tigres golea en el Volcán a Santos 5 - 1 – Periódico Zócalo | Noticias de Saltillo , Torreón , Piedras Negras , Monclova , Acuña",https://www.zocalo.com.mx/sin-piedad-tigres-golea-en-el-volcan-a-santos-5-1/,Mexico,Spanish
20260207T044500Z,Anh em sinh đôi ở Hà Nội cùng giành giải Nhất thi học sinh giỏi Toán,https://baomoi.com/anh-em-sinh-doi-o-ha-noi-cung-gianh-giai-nhat-thi-hoc-sinh-gioi-toan-c54437743.epi,Vietnam,Vietnamese
20260207T044500Z,Unión cayó con Central Córdoba de Santiago del Estero en el inicio de la cuarta fecha,https://www.analisisdigital.com.ar/deportes/2026/02/06/union-cayo-con-central-cordoba-de-santiago-del-estero-en-el-inicio-de-la-cuarta-fecha,Argentina,Spanish
20260207T044500Z,"Sailor , the Super Bowl predicting dog , seeks forever home",https://ktvz.com/lifestyle/pet-pals-furry-friends/2026/02/06/sailor-the-super-bowl-predicting-dog-seeks-forever-home/,United States,English
20260207T044500Z,Giá cà phê hôm nay 7 / 2 / 2026 : Tăng trên diện rộng,https://baovanhoa.vn/kinh-te/gia-ca-phe-hom-nay-72-tang-tren-dien-rong-203194.html,Vietnam,Vietnamese
20260207T044500Z,Election season in Le Sueur County kicks off with caucuses,https://www.southernminn.com/le_sueur_county_news/news/election-season-in-le-sueur-county-kicks-off-with-caucuses/article_d6aaaf38-4b01-46b2-b8f4-0eeabca3e96b.html,United States,English
20260207T044500Z,Jorge Rodríguez se reunió con las madres de los presos de Zona 7,https://www.informe21.com/post/jorge-rodr%C3%ADguez-se-reuni%C3%B3-con-las-madres-de-los-presos-de-zona-7,Venezuela,Spanish
20260207T044500Z,Mapping Market Potential : Using Location Intelligence to Drive Smarter Marketing,https://gisuser.com/2026/02/mapping-market-potential-using-location-intelligence-to-drive-smarter-marketing/,United States,English
20260207T044500Z,Surrey man clocked at 197 km / h loses his Lambo for a week,https://theprovince.com/news/surrey-man-clocked-at-197-km-h-loses-his-lambo-for-a-week/wcm/3dae05da-d996-4023-b1a8-d570b6dd534b,Canada,English
